DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,0,12159.27,1.0,0.0,12159.27,0.0,0.0,488.96,0.0,12159.27,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,100,10336.59,1.0,9061.335,10336.59,0.99,464.07,410.12,350.44,1277.925,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,200,9524.0,0.97,8861.51,9519.68,1.93,913.0,376.11,335.46,706.88,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,300,9425.46,0.96,8810.24,9414.83,2.13,1000.63,371.17,334.78,646.68,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,400,8997.7,0.92,8459.29,8982.07,2.91,1354.22,351.84,330.01,592.96,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,500,8697.02,0.97,8346.695,8688.33,3.5,1621.48,340.42,322.23,427.105,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,600,8486.99,0.87,8154.16,8461.64,4.09,1900.15,330.06,319.77,369.29,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,700,8283.74,0.84,7972.54,8251.37,4.71,2185.06,318.1,307.87,353.42,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,800,8097.73,0.86,7849.2,8072.77,5.29,2452.43,315.14,301.95,311.87,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,900,7931.08,0.87,7725.48,7902.72,5.92,2746.51,311.38,300.71,256.83,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1000,7806.07,0.82,7622.905,7772.86,6.5,3018.21,303.08,299.2,229.695,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1100,7735.42,0.73,7529.955,7690.84,7.06,3276.74,301.18,292.57,236.595,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1200,7604.4,0.75,7435.845,7559.42,7.78,3610.93,295.17,286.16,208.685,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1300,7496.53,0.82,7371.135,7471.15,8.38,3887.66,293.58,283.41,176.615,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1400,7431.13,0.8,7323.51,7402.42,8.92,4136.87,300.97,277.99,158.98,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1500,7357.89,0.82,7270.155,7334.62,9.47,4398.18,298.67,278.58,140.515,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1600,7308.25,0.85,7221.36,7286.14,10.05,4661.26,294.07,284.04,137.15,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1700,7261.94,0.79,7162.59,7222.71,10.75,4987.75,291.38,281.5,140.73,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1800,7206.63,0.84,7124.315,7169.6,11.37,5275.79,291.22,284.19,129.055,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1900,7157.31,0.87,7097.755,7131.41,11.91,5525.37,288.78,279.33,107.895,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,2000,7098.29,0.88,7068.61,7083.69,12.58,5837.92,281.37,280.9,78.34,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,2100,7067.96,0.85,7035.11,7048.59,13.23,6133.5,280.81,277.35,71.96,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,2200,7045.18,0.84,7016.71,7024.63,13.66,6328.54,279.92,275.0,65.85,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,2300,7021.54,0.87,6990.055,7001.8,14.38,6669.35,279.99,276.84,63.735,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,2400,6987.15,0.89,6965.275,6970.02,14.99,6948.89,274.58,275.14,50.755,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,2500,6973.98,0.84,6953.905,6956.23,15.45,7166.48,274.82,274.12,44.035,1.0,1.0
