run#,DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
31,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,4992.0,1.0,2450.5,4901.0,11.0,286.0,219.0,88.0,2541.5,1.0,1.0
32,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,5722.0,1.0,3789.5,5722.0,9.0,613.0,293.0,237.0,1932.5,1.0,1.0
33,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6001.0,1.0,2205.5,6001.0,1.0,249.0,393.0,171.0,3795.5,1.0,1.0
34,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6066.0,1.0,2007.0,6066.0,2.0,185.0,342.0,71.0,4059.0,1.0,1.0
35,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6997.0,1.0,1869.0,6997.0,0.0,154.0,323.0,96.0,5128.0,1.0,1.0
36,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,7157.0,1.0,1493.0,7157.0,1.0,140.0,247.0,0.0,5664.0,1.0,1.0
37,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6140.0,1.0,2415.5,6092.0,5.0,283.0,232.0,98.0,3724.5,1.0,1.0
38,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6532.0,1.0,2236.5,6532.0,2.0,303.0,314.0,36.0,4295.5,1.0,1.0
39,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6949.0,1.0,1252.0,6949.0,1.0,110.0,194.0,46.0,5697.0,1.0,1.0
40,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6743.0,1.0,2228.5,6341.0,8.0,206.0,214.0,98.0,4514.5,1.0,1.0
41,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6111.0,1.0,2186.5,6067.0,2.0,221.0,147.0,91.0,3924.5,1.0,1.0
42,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6005.0,0.0,2357.5,5690.0,1.0,245.0,359.0,131.0,3647.5,1.0,1.0
