DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,0,12101.470588235294,1.0,0.0,12101.470588235294,0.0,0.0,496.84313725490193,0.0,12101.470588235294,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,100,10364.70588235294,1.0,8867.509803921568,10364.70588235294,0.9803921568627451,463.15686274509807,427.11764705882354,339.4901960784314,1497.1960784313726,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,200,9639.803921568628,0.9411764705882353,8743.088235294117,9631.333333333334,1.9019607843137254,907.6078431372549,387.54901960784315,332.54901960784315,914.4215686274509,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,300,9539.0,0.9607843137254902,8746.421568627451,9534.019607843138,2.0980392156862746,990.6666666666666,382.15686274509807,331.6862745098039,810.6764705882352,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,400,9156.764705882353,0.9215686274509803,8422.421568627451,9149.058823529413,2.8823529411764706,1341.7254901960785,365.47058823529414,339.29411764705884,765.6372549019608,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,500,8784.862745098038,0.9803921568627451,8402.990196078432,8778.450980392157,3.549019607843137,1643.0588235294117,342.078431372549,340.6078431372549,473.2450980392157,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,600,8581.666666666666,0.8431372549019608,8204.578431372549,8549.35294117647,4.098039215686274,1909.3921568627452,326.1764705882353,333.70588235294116,415.6372549019608,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,700,8346.333333333334,0.8431372549019608,8024.382352941177,8308.078431372549,4.764705882352941,2222.1372549019607,319.88235294117646,311.5686274509804,351.1862745098039,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,800,8178.078431372549,0.8627450980392157,7932.117647058823,8153.196078431372,5.352941176470588,2483.764705882353,317.5098039215686,298.2352941176471,295.2156862745098,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,900,8027.254901960784,0.8823529411764706,7780.931372549019,8002.725490196079,5.921568627450981,2755.235294117647,316.921568627451,303.0980392156863,271.4019607843137,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1000,7852.941176470588,0.8627450980392157,7681.950980392156,7835.254901960784,6.529411764705882,3038.3333333333335,310.72549019607845,304.3529411764706,208.81372549019608,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1100,7766.941176470588,0.7647058823529411,7583.833333333333,7730.745098039216,7.137254901960785,3312.6862745098038,312.6078431372549,292.5882352941176,216.3235294117647,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1200,7625.568627450981,0.7647058823529411,7463.656862745098,7586.058823529412,7.823529411764706,3632.5686274509803,301.19607843137254,292.15686274509807,198.30392156862746,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1300,7503.235294117647,0.8235294117647058,7395.411764705882,7484.882352941177,8.450980392156863,3926.1176470588234,298.19607843137254,293.0980392156863,160.09803921568627,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1400,7431.588235294118,0.7843137254901961,7340.235294117647,7411.21568627451,9.0,4186.725490196079,306.4117647058824,281.4901960784314,146.50980392156862,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1500,7351.607843137255,0.8235294117647058,7274.3725490196075,7337.35294117647,9.568627450980392,4438.843137254902,307.05882352941177,284.3137254901961,128.4313725490196,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1600,7303.588235294118,0.8823529411764706,7235.607843137255,7286.176470588235,10.117647058823529,4697.117647058823,304.03921568627453,290.94117647058823,128.88235294117646,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1700,7237.470588235294,0.8431372549019608,7159.323529411765,7214.6274509803925,10.823529411764707,5032.019607843137,302.0980392156863,292.1372549019608,112.22549019607843,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1800,7188.882352941177,0.8627450980392157,7117.813725490196,7160.137254901961,11.411764705882353,5302.509803921569,302.921568627451,293.3333333333333,116.22549019607843,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,1900,7148.235294117647,0.8627450980392157,7084.64705882353,7122.21568627451,11.96078431372549,5555.156862745098,301.1764705882353,289.5882352941176,109.09803921568627,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,2000,7099.450980392156,0.8431372549019608,7049.8725490196075,7078.117647058823,12.647058823529411,5884.666666666667,289.1764705882353,287.11764705882354,90.44117647058823,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,2100,7044.078431372549,0.9019607843137255,7015.598039215686,7032.235294117647,13.313725490196079,6179.803921568628,291.8235294117647,283.54901960784315,69.02941176470588,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,2200,7015.254901960784,0.9019607843137255,6996.656862745098,7005.9607843137255,13.705882352941176,6351.098039215686,289.94117647058823,279.62745098039215,63.26470588235294,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,2300,6991.725490196079,0.8823529411764706,6965.901960784314,6977.450980392156,14.509803921568627,6730.921568627451,285.3137254901961,283.98039215686276,65.37254901960785,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,2400,6960.274509803921,0.9215686274509803,6951.823529411765,6948.117647058823,15.07843137254902,6991.156862745098,281.45098039215685,283.15686274509807,38.411764705882355,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,2500,6957.156862745098,0.8431372549019608,6944.166666666667,6940.843137254902,15.509803921568627,7193.64705882353,282.80392156862746,281.4117647058824,35.5,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,2600,6910.431372549019,0.8823529411764706,6929.421568627451,6902.156862745098,16.352941176470587,7588.9607843137255,285.72549019607845,282.11764705882354,34.166666666666664,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,2700,6901.450980392156,0.8823529411764706,6920.264705882353,6893.35294117647,16.647058823529413,7720.254901960784,290.1764705882353,281.01960784313724,30.813725490196077,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,2800,6892.254901960784,0.9019607843137255,6882.166666666667,6884.058823529412,17.372549019607842,8071.450980392156,288.5098039215686,282.27450980392155,29.53921568627451,1.0,1.0
Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,2900,6873.176470588235,0.9411764705882353,6871.323529411765,6865.098039215686,18.235294117647058,8460.588235294117,287.94117647058823,283.2549019607843,20.34313725490196,1.0,1.0
