run#,DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,lambda,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
30,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99821,6646.0,1.0,6646.0,6646.0,526.0,252239.0,428.0,428.0,0.0,1.0,1.0
31,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99934,7078.0,1.0,7078.0,7078.0,623.0,323450.0,429.0,429.0,0.0,1.0,1.0
32,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99824,7028.0,1.0,7028.0,7028.0,554.0,266743.0,502.0,502.0,0.0,1.0,1.0
33,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99892,6537.0,1.0,6537.0,6537.0,625.0,297179.0,255.0,255.0,0.0,1.0,1.0
34,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99862,6638.0,1.0,6638.0,6638.0,586.0,288734.0,180.0,180.0,0.0,1.0,1.0
35,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99967,5642.0,1.0,5642.0,5642.0,707.0,304965.0,263.0,263.0,0.0,1.0,1.0
36,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99882,7247.0,1.0,7247.0,7247.0,616.0,330018.0,249.0,249.0,0.0,1.0,1.0
37,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99878,7017.0,1.0,7017.0,7000.0,621.0,304569.0,366.0,366.0,0.0,1.0,1.0
38,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99907,6629.0,1.0,6629.0,6629.0,664.0,319328.0,481.0,481.0,0.0,1.0,1.0
39,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99856,7327.0,1.0,7327.0,7327.0,620.0,313891.0,320.0,320.0,0.0,1.0,1.0
40,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99997,6599.0,1.0,6599.0,6599.0,555.0,258509.0,145.0,145.0,0.0,1.0,1.0
41,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99835,6910.0,1.0,6910.0,6910.0,581.0,286666.0,178.0,178.0,0.0,1.0,1.0
42,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99810,6260.0,1.0,6260.0,6260.0,526.0,240829.0,346.0,346.0,0.0,1.0,1.0
43,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99850,6080.0,1.0,6080.0,6080.0,554.0,251082.0,148.0,148.0,0.0,1.0,1.0
44,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99885,5793.0,1.0,5793.0,5793.0,588.0,262007.0,399.0,399.0,0.0,1.0,1.0
45,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99902,5879.0,1.0,5879.0,5879.0,586.0,265948.0,78.0,78.0,0.0,1.0,1.0
46,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99952,6616.0,1.0,6616.0,6522.0,664.0,326742.0,418.0,418.0,0.0,1.0,1.0
47,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99898,5970.0,1.0,5970.0,5970.0,620.0,284950.0,463.0,463.0,0.0,1.0,1.0
48,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99928,7320.0,1.0,7320.0,7320.0,661.0,336216.0,433.0,433.0,0.0,1.0,1.0
49,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99970,7750.0,1.0,7750.0,7750.0,588.0,314326.0,244.0,244.0,0.0,1.0,1.0
50,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99879,7602.0,1.0,7602.0,7602.0,575.0,311850.0,290.0,290.0,0.0,1.0,1.0
51,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99977,6668.0,1.0,6668.0,6668.0,587.0,290578.0,154.0,154.0,0.0,1.0,1.0
52,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99871,5911.0,1.0,5911.0,5911.0,665.0,300748.0,226.0,226.0,0.0,1.0,1.0
53,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99831,7352.0,1.0,7352.0,7352.0,584.0,302331.0,177.0,177.0,0.0,1.0,1.0
54,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99872,6917.0,1.0,6917.0,6917.0,698.0,343845.0,284.0,284.0,0.0,1.0,1.0
55,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99853,7444.0,1.0,7444.0,7444.0,578.0,299065.0,481.0,481.0,0.0,1.0,1.0
56,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99941,6874.0,1.0,6874.0,6874.0,586.0,291340.0,369.0,369.0,0.0,1.0,1.0
57,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99991,6199.0,1.0,6207.0,6199.0,701.0,320621.0,274.0,274.0,8.0,1.0,1.0
58,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99895,6610.0,1.0,6610.0,6610.0,660.0,306059.0,112.0,112.0,0.0,1.0,1.0
59,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99944,7122.0,1.0,7122.0,7122.0,579.0,291347.0,187.0,187.0,0.0,1.0,1.0
60,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99934,6440.0,1.0,6440.0,6440.0,555.0,266557.0,113.0,113.0,0.0,1.0,1.0
61,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99957,6968.0,1.0,6968.0,6968.0,662.0,325512.0,126.0,126.0,0.0,1.0,1.0
62,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99936,7118.0,1.0,7118.0,7118.0,623.0,312421.0,303.0,303.0,0.0,1.0,1.0
63,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99867,7130.0,1.0,7130.0,7130.0,621.0,320284.0,286.0,286.0,0.0,1.0,1.0
64,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99886,7193.0,1.0,7193.0,7193.0,657.0,336443.0,273.0,273.0,0.0,1.0,1.0
65,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99960,7126.0,1.0,7126.0,7126.0,553.0,283162.0,397.0,397.0,0.0,1.0,1.0
66,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99957,7360.0,1.0,7360.0,7360.0,525.0,272023.0,292.0,292.0,0.0,1.0,1.0
67,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99865,6494.0,1.0,6494.0,6446.0,587.0,293465.0,343.0,343.0,0.0,1.0,1.0
68,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99951,6468.0,1.0,6468.0,6413.0,692.0,334011.0,273.0,273.0,0.0,1.0,1.0
69,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99892,6286.0,1.0,6286.0,6286.0,660.0,305003.0,219.0,219.0,0.0,1.0,1.0
70,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99883,6823.0,1.0,6823.0,6823.0,554.0,268322.0,203.0,203.0,0.0,1.0,1.0
71,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99896,6689.0,1.0,6689.0,6689.0,454.0,218594.0,401.0,401.0,0.0,1.0,1.0
72,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99997,6658.0,1.0,6658.0,6658.0,588.0,287147.0,203.0,203.0,0.0,1.0,1.0
73,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99902,6400.0,1.0,6400.0,6400.0,666.0,298165.0,245.0,245.0,0.0,1.0,1.0
74,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99861,6083.0,1.0,6083.0,6083.0,587.0,259133.0,213.0,213.0,0.0,1.0,1.0
75,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99993,6563.0,1.0,6563.0,6563.0,622.0,299392.0,300.0,300.0,0.0,1.0,1.0
76,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99958,6079.0,1.0,6079.0,6079.0,662.0,297044.0,32.0,32.0,0.0,1.0,1.0
77,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99934,7219.0,1.0,7219.0,7219.0,666.0,356015.0,399.0,399.0,0.0,1.0,1.0
78,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99977,6507.0,1.0,6507.0,6507.0,567.0,275389.0,329.0,329.0,0.0,1.0,1.0
79,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99838,7535.0,1.0,7535.0,7535.0,553.0,294265.0,283.0,283.0,0.0,1.0,1.0
80,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99936,6295.0,1.0,6295.0,6295.0,614.0,289308.0,455.0,455.0,0.0,1.0,1.0
81,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99841,8128.0,1.0,8128.0,8128.0,568.0,319057.0,213.0,213.0,0.0,1.0,1.0
82,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99888,6687.0,1.0,6687.0,6687.0,621.0,301388.0,369.0,369.0,0.0,1.0,1.0
83,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99898,7615.0,1.0,7615.0,7615.0,526.0,290568.0,402.0,402.0,0.0,1.0,1.0
84,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99871,6035.0,1.0,6035.0,6035.0,554.0,257425.0,358.0,358.0,0.0,1.0,1.0
85,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99888,6565.0,1.0,6565.0,6519.0,586.0,283657.0,306.0,306.0,0.0,1.0,1.0
86,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99888,5518.0,1.0,5518.0,5518.0,624.0,279685.0,131.0,131.0,0.0,1.0,1.0
87,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99883,5613.0,1.0,5613.0,5613.0,589.0,258800.0,288.0,288.0,0.0,1.0,1.0
88,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99937,6687.0,1.0,6687.0,6687.0,587.0,287106.0,335.0,335.0,0.0,1.0,1.0
89,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99886,6478.0,1.0,6478.0,6478.0,646.0,301689.0,259.0,259.0,0.0,1.0,1.0
90,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99828,5969.0,1.0,5972.5,5969.0,519.0,235794.0,251.0,251.0,3.5,1.0,1.0
91,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99895,6530.0,1.0,6530.0,6509.0,667.0,328704.0,243.0,243.0,0.0,1.0,1.0
92,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99979,6456.0,1.0,6456.0,6456.0,619.0,299854.0,294.0,294.0,0.0,1.0,1.0
93,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99930,7111.0,1.0,7111.0,7111.0,620.0,327215.0,146.0,146.0,0.0,1.0,1.0
94,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99854,7034.0,1.0,7034.0,7034.0,527.0,271612.0,210.0,210.0,0.0,1.0,1.0
95,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99850,6592.0,1.0,6592.0,6592.0,564.0,262688.0,346.0,346.0,0.0,1.0,1.0
96,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99992,6875.0,1.0,6875.0,6875.0,624.0,310841.0,357.0,357.0,0.0,1.0,1.0
97,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99926,6235.0,1.0,6235.0,6235.0,588.0,272857.0,77.0,77.0,0.0,1.0,1.0
98,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99945,8058.0,1.0,8058.0,8058.0,498.0,273749.0,381.0,381.0,0.0,1.0,1.0
99,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99995,6260.0,1.0,6260.0,6260.0,555.0,254362.0,183.0,183.0,0.0,1.0,1.0
0,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99919,6245.0,1.0,6128.5,6122.0,652.0,313299.0,260.0,260.0,116.5,1.0,1.0
1,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99940,6546.0,1.0,6546.0,6546.0,580.0,285905.0,136.0,136.0,0.0,1.0,1.0
2,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99958,5881.0,1.0,5881.0,5881.0,603.0,290083.0,218.0,218.0,0.0,1.0,1.0
3,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99925,5881.0,1.0,5881.0,5881.0,603.0,272331.0,301.0,301.0,0.0,1.0,1.0
4,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99941,5305.0,1.0,5305.0,5305.0,694.0,304253.0,376.0,376.0,0.0,1.0,1.0
5,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99927,6842.0,1.0,6808.0,6744.0,649.0,335343.0,222.0,222.0,34.0,1.0,1.0
6,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99997,6338.0,1.0,6287.0,6243.0,550.0,258041.0,106.0,106.0,51.0,1.0,1.0
7,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99868,6565.0,1.0,6565.0,6565.0,586.0,293958.0,235.0,235.0,0.0,1.0,1.0
8,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99906,7206.0,1.0,7206.0,7204.0,547.0,292818.0,220.0,220.0,0.0,1.0,1.0
9,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99941,6380.0,1.0,6380.0,6374.0,616.0,301803.0,247.0,247.0,0.0,1.0,1.0
10,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1500.0,DSA_ASY,0.7,99870,6426.0,1.0,6426.0,6426.0,650.0,320157.0,191.0,191.0,0.0,1.0,1.0
